engine,score,kind,pages,ok,error,wallMs,wallMsPerPage,usd,tokensIn,tokensOut,f1,precision,recall,anyHandF1,globalF1,onsetMeanAbs,durationAcc,barsGt,barsEng,barsAligned,barsExactDur,barsOverfull,barsUnderfull,geoRecall,geoXIoU,scoreDataMeasures,measuresPlaced,measuresWithSlots,systemsWithStaves,fallbackPages,llmCalls,warnings
audiveris-5.11.0,bach-846-prelude-fugue,typeset,7,true,,56536,8077,0,,,0.8726,0.9159,0.8332,0.8726,0.1579,18.9,0.9816,62,62,62,51,11,0,1,,62,62,59,30,,,multi_part_collapsed measure_overfull measure_underfull tempo_defaulted
audiveris-5.11.0,bach-prelude-846-scan,scan,2,true,,29894,14947,0,,,0.906,0.9359,0.878,0.906,0.2199,10.5,0.9938,35,34,34,28,6,0,,,34,34,34,12,,,measure_overfull measure_underfull tempo_defaulted
audiveris-5.11.0,bach-fugue-846-scan,scan,2,true,,31753,15877,0,,,0.8322,0.8401,0.8245,0.8628,0.4953,4.7,0.9792,27,27,27,23,4,0,,,27,27,25,12,,,measure_overfull measure_underfull ornaments_realized tempo_defaulted
audiveris-5.11.0,beethoven-8-2-scan,scan,3,true,,70700,23567,0,,,0.697,0.798,0.6187,0.699,0.1908,26.7,0.945,73,70,70,27,43,0,,,70,70,61,19,,,meter_suspect measure_overfull measure_underfull tempo_defaulted measure_geometry_mismatch
audiveris-5.11.0,beethoven-8-2-scan-berg,scan,4,false,Audiveris exited with 1,52905,13226,0,,,,,,,,,,,,,,,,,,,,,,,,
audiveris-5.11.0,haydn-39-3-scan,scan,4,true,,61968,15492,0,,,0.727,0.7797,0.6809,0.7276,0.2441,3.4,0.8868,121,121,121,110,11,0,,,242,242,234,24,,,measure_underfull measure_overfull ornaments_realized tempo_defaulted repeats_unrolled
audiveris-5.11.0,mozart-11-3-scan,scan,4,true,,45404,11351,0,,,0.673,0.7998,0.5809,0.673,0.2428,3.3,0.9635,137,136,136,107,25,4,,,238,238,236,24,,,measure_underfull measure_overfull tempo_inferred ornaments_realized repeats_unrolled
audiveris-5.11.0,chopin-10-3-scan,scan,4,true,,75947,18987,0,,,0.7555,0.7836,0.7293,0.8654,0.1973,6.3,0.8815,78,75,75,47,28,0,,,75,75,65,20,,,measure_overfull measure_underfull ornaments_realized measure_geometry_mismatch
audiveris-5.11.0,scriabin-8-11-scan,scan,3,true,,46234,15411,0,,,0.8735,0.8924,0.8554,0.8735,0.1053,5,0.9614,54,54,54,0,54,0,,,54,54,47,17,,,measure_overfull measure_underfull
audiveris-5.6.1,bach-prelude-846,typeset,3,true,,26781,8927,0,,,0.8184,0.8821,0.7632,0.8184,0.2051,45.3,0.9952,35,35,35,26,9,0,1,,35,35,35,14,,,measure_overfull measure_underfull tempo_defaulted
audiveris-5.6.1,bach-fugue-846,typeset,4,true,,35054,8764,0,,,0.9048,0.934,0.8773,0.9048,0.4667,1.7,0.9699,27,27,27,24,3,0,1,,27,27,24,16,,,multi_part_collapsed measure_overfull tempo_defaulted
audiveris-5.6.1,bach-prelude-848,typeset,3,true,,31705,10568,0,,,0.9938,0.9938,0.9938,0.9938,0.9123,0.4,0.9888,104,104,104,99,5,0,1,,104,104,104,17,,,measure_overfull tempo_defaulted
audiveris-5.6.1,beethoven-8-2,typeset,8,true,,61033,7629,0,,,0.7395,0.7539,0.7256,0.7401,0.0693,29.2,0.9933,73,73,73,0,73,0,1,,73,73,63,27,,,meter_corrected measure_underfull measure_overfull dynamics_not_staff_split tempo_defaulted
audiveris-5.6.1,haydn-39-3,typeset,5,true,,42798,8560,0,,,0.9019,0.9545,0.8548,0.9019,0.3367,0,0.9747,121,113,113,108,5,0,0.9587,,223,223,219,28,,,multi_part_collapsed measure_overfull measure_underfull tempo_inferred dynamics_not_staff_split repeats_unrolled
